t_const,season_num,episode_num
tt0267198,1,7
tt0165592,4,11
tt0159876,NULL,NULL
tt0277509,1,1
tt0072470,1,0
tt0069633,1,4
tt0202179,3,2
tt0762803,1,3
tt0165593,9,5
tt0165592,4,21
tt0164295,2,6
tt1466074,3,8
tt1466074,4,3
tt1466074,3,6
tt1466074,4,2
tt1466074,3,5
tt1466074,2,5
tt1466074,3,7
tt0277509,1,2
tt0165593,9,7
tt0165593,10,2
tt0200358,8,8
tt0277509,1,4
tt0070990,1,0
tt0199214,3,1
tt1091486,1,13
tt0071012,1,0
tt1049986,2,1
tt1049986,1,12
tt0165592,4,12
tt0071007,1,0
tt0071008,1,0
tt0806910,1,46
tt1389029,1,2
tt1091486,1,10
tt0164295,4,3
tt1389029,1,3
tt0071017,1,0
tt0164295,6,2
tt0202206,NULL,NULL
tt0164295,3,6
tt0969783,1,2
tt0165593,10,4
tt0071042,1,0
tt0165592,4,20
tt0063920,6,11
tt0071056,1,0
tt1091486,1,11
tt0165593,9,8
tt0072567,1,0
tt0806910,1,36
tt0806910,1,41
tt0072576,1,0
tt0270780,1,3
tt0165593,10,3
tt0849411,NULL,NULL
tt0202206,NULL,NULL
tt0165592,6,4
tt0165593,10,5
tt1614886,1,6
tt0072471,1,1
tt1614886,1,5
tt0072478,1,0
tt0165592,5,20
tt0762803,2,1
tt0072481,1,0
tt1614886,1,1
tt0159876,NULL,NULL
tt1466074,5,2
tt1466074,4,6
tt1466074,4,1
tt1466074,5,1
tt1466074,5,3
tt1466074,4,5
tt1466074,4,4
tt0071325,1,3
tt0072496,1,0
tt1049986,2,12
tt0165592,5,21
tt0159876,NULL,NULL
tt0165592,5,8
tt0312084,3,4
tt0165592,5,14
tt0065296,NULL,NULL
tt1049986,2,19
tt1049986,3,3
tt1614886,1,2
tt0397818,NULL,NULL
tt0072515,1,0
tt0259806,6,4
tt1049986,2,18
tt0072526,1,0
tt0165593,10,7
tt0806910,1,58
tt0165593,11,2
tt0165593,11,3
tt0397818,NULL,NULL
tt0072542,1,0
tt0207281,1,3
tt0165592,6,3
tt0762803,2,2
tt0074074,1,1
tt0298685,1,3
tt0071325,1,9
tt0259806,4,4
tt0397818,NULL,NULL
tt0075471,1,6
tt1614886,1,4
tt0165592,6,10
tt1049986,2,2
tt0165593,10,6
tt0071054,3,17
tt0071325,1,7
tt1049986,2,16
tt0165593,10,8
tt1049986,2,7
tt0072574,1,0
tt0806910,1,52
tt0806910,1,55
tt0165592,6,8
tt1049986,2,6
tt0165592,6,2
tt0164295,4,6
tt0806910,1,50
tt0806910,1,51
tt0159876,NULL,NULL
tt0073961,1,0
tt0165592,7,1
tt0165592,7,7
tt0762803,3,4
tt0073972,1,0
tt0165593,11,7
tt0167732,1,23
tt1466074,5,4
tt1466074,6,1
tt1466074,5,6
tt1466074,5,5
tt1466074,6,2
tt0165592,6,24
tt0762803,4,2
tt0165592,6,23
tt0165593,11,8
tt0075510,1,0
tt0073994,1,0
tt0207281,1,1
tt0165592,6,25
tt0075517,1,0
tt1049986,3,9
tt1043199,1,3
tt0762803,3,9
tt0165592,6,17
tt0075523,1,0
tt0259806,7,2
tt0075524,1,0
tt0762803,4,3
tt0165593,11,6
tt0762803,4,1
tt0074026,1,0
tt0165592,6,12
tt0075552,1,0
tt0165592,6,22
