tconst,numVotes,averageRating
tt0001161,9,4.9
tt0001165,6,5
tt0001175,19,6.3
tt0001176,7,4.7
tt0001185,15,7.2
tt0001186,34,5.2
tt0001187,7,4.9
tt0001190,8,6.6
tt0001195,5,4.6
tt0001200,12,4.8
tt0001202,6,5.2
tt0001206,9,6.6
tt0001207,60,5.7
tt0001211,24,5.4
tt0001216,7,5.1
tt0001217,27,5.9
tt0001218,49,5.4
tt0001223,2663,6.5
tt0001227,141,5.7
tt0001230,5,5
tt0001234,11,5.8
tt0001236,10,5
tt0001237,19,4.5
tt0001240,10,4.1
tt0001241,6,5.7
tt0001242,7,6.3
tt0001245,23,5.4
tt0001256,362,6
tt0001258,50,5.6
tt0001264,35,7.3
tt0001265,365,6.5
tt0001277,7,5.3
tt0001280,13,4.7
tt0001282,13,6.9
tt0001283,5,7.2
tt0001284,13,5.1
tt0001285,26,5.4
tt0001292,18,4.9
tt0001294,5,7.2
tt0001299,5,4.2
tt0001303,6,6.8
tt0001307,5,6.4
tt0001314,118,5.9
tt0001315,7,6.9
tt0001321,14,5.4
tt0001326,16,5.6
tt0001330,6,6.8
tt0001333,9,5.9
tt0001337,11,6.5
tt0001340,59,5.2
tt0001351,23,6.3
tt0001358,11,4
tt0001370,11,5.3
tt0001371,269,5.9
tt0001377,14,5.5
tt0001378,147,6.2
tt0001380,5,3.6
tt0001381,14,5.4
tt0001385,16,6.1
tt0001386,6,5.2
tt0001387,9,6.3
tt0001388,41,5.8
tt0001396,5,3.2
tt0001400,5,6.8
tt0001401,8,5.4
tt0001410,6,4.3
tt0001414,16,8.1
tt0001423,6,4.7
tt0001428,12,5.1
tt0001431,423,6.5
tt0001439,156,6
tt0001440,8,4.8
tt0001444,19,3.3
tt0001446,6,6
tt0001452,121,5.5
tt0001456,7,8.9
tt0001458,96,5.9
tt0001459,25,5.6
tt0001460,5,3.2
tt0001461,7,6.1
tt0001463,1145,5.7
tt0001469,53,5.8
tt0001475,12,8
tt0001481,8,5.1
tt0001482,23,5.5
tt0001488,248,6.4
tt0001490,7,4.6
tt0001496,29,4
tt0001499,201,5.6
tt0001500,6,5.7
tt0001508,12,5.3
tt0001510,20,5.5
tt0001517,13,6
tt0001518,7,5.7
tt0001519,9,4.6
tt0001527,1962,7.8
tt0001529,6,4.2
tt0001530,7,6.1
tt0001531,6,5.2
tt0001542,8,4.4
tt0001544,409,6.1
tt0001545,69,6.8
tt0001550,21,5.5
tt0001551,53,5.4
tt0001552,11,5.3
tt0001557,46,4.8
tt0001563,19,5.7
tt0001564,7,4.6
tt0001571,6,5
tt0001577,6,5
tt0001582,8,4.9
tt0001583,10,5.6
tt0001586,5,4.4
tt0001587,6,4.5
tt0001588,105,5.7
tt0001593,224,6.4
tt0001594,195,6.4
tt0001598,10,6.3
tt0001607,23,5.8
tt0001613,87,5.7
tt0001614,13,6.4
tt0001615,8,5.5
tt0001624,28,5
tt0001630,14,6.1
tt0001632,38,6.5
tt0001642,20,5
tt0001654,12,5.6
tt0001655,8,4.4
tt0001658,6,5.8
tt0001659,6,7.3
tt0001660,141,5.8
tt0001668,24,4.2
tt0001671,10,5.2
tt0001680,410,5.2
tt0001681,158,5
tt0001692,6,6
tt0001693,10,7.2
tt0001695,25,4.8
tt0001701,43,4.5
tt0001709,13,5.7
tt0001715,5,4
tt0001717,14,3.4
tt0001724,165,5.8
tt0001728,6,7.7
tt0001732,8,7.1
tt0001733,8,5.6
tt0001737,1229,7.2
tt0001738,16,7.2
tt0001740,793,6.5
tt0001741,9,4.4
tt0001742,6,5.7
tt0001747,8,4.8
tt0001762,48,4.8
tt0001769,9,5.3
tt0001771,98,5.5
tt0001772,8,5.6
tt0001776,115,7
tt0001779,9,7
tt0001789,165,6.4
tt0001790,16,6.3
tt0001817,57,5.2
tt0001832,20,6.2
tt0001840,14,4.9
tt0001845,6,5
tt0001848,20,4.1
tt0001852,7,4.1
tt0001856,22,4.7
tt0001857,164,5.8
tt0001862,22,5.3
tt0001865,10,6.6
tt0001871,24,4.4
tt0001872,19,7.3
tt0001877,33,5.2
tt0001889,7,4.4
tt0001892,132,6.3
tt0001896,30,5
tt0001910,30,5.1
tt0001911,5,4.8
tt0001913,135,5.5
tt0001915,57,6.3
tt0001923,11,7.3
tt0001928,29,4.6
tt0001941,42,5
tt0001949,13,6
tt0001956,7,6.1
tt0001957,32,5.3
tt0001963,76,5.7
tt0001964,34,6.4
tt0001967,7,5.9
tt0001973,190,6.2
tt0001978,8,6
tt0001987,8,6.6
tt0001993,8,4.5
tt0001998,9,4.4
tt0002020,66,5.3
tt0002029,26,6.2
tt0002031,6,5.2
tt0002033,21,5.9
tt0002034,8,4.8
tt0002041,13,4.2
tt0002045,60,4.3
tt0002054,88,5.7
tt0002056,56,7
tt0002064,24,4.7
tt0002065,30,6.3
tt0002066,45,3.8
tt0002068,12,5.4
tt0002070,19,5
tt0002078,19,5.1
tt0002082,234,6.2
tt0002083,128,6.2
tt0002093,10,5
tt0002095,10,5.3
tt0002097,10,4.5
tt0002098,98,6
tt0002101,357,5.1
tt0002107,7,5.1
tt0002113,592,7
tt0002121,13,4.8
tt0002122,202,6.2
tt0002124,253,5.1
tt0002126,31,6.5
tt0002130,1405,7
tt0002133,127,5.9
tt0002136,37,6.1
tt0002143,355,6
tt0002144,9,5.6
tt0002151,12,5.2
tt0002153,33,5.9
tt0002159,14,4.1
tt0002160,43,6.7
