n_const,first_name,last_name,birth_year,death_year
nm0000517,Terrence,Malick,1943,NULL
nm0000518,John,Malkovich,1953,NULL
nm0000519,David,Mamet,1947,NULL
nm0000520,Michael,Mann,1943,NULL
nm0000521,Sophie,Marceau,1966,NULL
nm0000522,Vanessa,Marcil,1968,NULL
nm0000523,Julianna,Margulies,1966,NULL
nm0000524,Mary,Stuart,1966,NULL
nm0000525,Heather,Matarazzo,1982,NULL
nm0000526,Samantha,Mathis,1970,NULL
nm0000527,Walter,Matthau,1920,2000
nm0000528,Mathilda,May,1965,NULL
nm0000529,Debi,Mazar,1964,NULL
nm0000530,Andrew,McCarthy,1962,NULL
nm0000531,Frances,McDormand,1957,NULL
nm0000532,Malcolm,McDowell,1943,NULL
nm0000533,Gates,McFadden,1949,NULL
nm0000534,Kelly,McGillis,1957,NULL
nm0000535,Rose,McGowan,1973,NULL
nm0000536,Robert,Duncan,1964,NULL
nm0000537,Steve,McQueen,1930,1980
nm0000538,Colm,Meaney,1953,NULL
nm0000539,Dina,Meyer,1968,NULL
nm0000540,Russ,Meyer,1922,2004
nm0000541,Bette,Midler,1945,NULL
nm0000542,Penelope,Ann,1964,NULL
nm0000543,Sal,Mineo,1939,1976
nm0000544,Carmen,Miranda,1909,1955
nm0000545,Helen,Mirren,1945,NULL
nm0000546,Matthew,Modine,1959,NULL
nm0000547,Alfred,Molina,1953,NULL
nm0000548,Elizabeth,Montgomery,1933,1995
nm0000549,Roger,Moore,1927,2017
nm0000550,Kate,Mulgrew,1955,NULL
nm0000551,Dermot,Mulroney,1963,NULL
nm0000552,Eddie,Murphy,1961,NULL
nm0000553,Liam,Neeson,1952,NULL
nm0000554,Sam,Neill,1947,NULL
nm0000555,Judd,Nelson,1959,NULL
nm0000556,Olivia,Newton-John,1948,NULL
nm0000557,Brigitte,Nielsen,1963,NULL
nm0000558,Leslie,Nielsen,1926,2010
nm0000559,Leonard,Nimoy,1931,2015
nm0000560,Nick,Nolte,1941,NULL
nm0000561,Peter,North,1957,NULL
nm0000562,Jeremy,Northam,1961,NULL
nm0000563,Chris,O'Donnell,1970,NULL
nm0000564,Peter,O'Toole,1932,2013
nm0000565,Lena,Olin,1955,NULL
nm0000566,Julia,Ormond,1965,NULL
nm0000567,George,Orwell,1903,1950
nm0000568,Frank,Oz,1944,NULL
nm0000569,Gwyneth,Paltrow,1972,NULL
nm0000570,Alan,Parker,1944,NULL
nm0000571,Mary-Louise,Parker,1964,NULL
nm0000572,Sarah,Jessica,1965,NULL
nm0000573,Dolly,Parton,1946,NULL
nm0000574,Jason,Patric,1966,NULL
nm0000575,Alexandra,Paul,1963,NULL
nm0000576,Sean,Penn,1960,NULL
nm0000577,George,Peppard,1928,1994
nm0000578,Anthony,Perkins,1932,1992
nm0000579,Ron,Perlman,1950,NULL
nm0000580,Luke,Perry,1966,NULL
nm0000581,Joseph,L.Mankiewicz,1909,1993
nm0000582,Joe,Pesci,1943,NULL
nm0000583,Wolfgang,Petersen,1941,NULL
nm0000584,Amanda,Peterson,1971,2015
nm0000585,Robert,Picardo,1953,NULL
nm0000586,Jada,Pinkett,1971,NULL
nm0000587,Donald,Pleasence,1919,1995
nm0000588,Martha,Plimpton,1970,NULL
nm0000589,Eve,Plumb,1958,NULL
nm0000590,Edgar,Allan,1809,1849
nm0000591,Roman,Polanski,1933,NULL
nm0000592,Pete,Postlethwaite,1946,2011
nm0000593,Kelly,Preston,1962,NULL
nm0000594,Jason,Priestley,1969,NULL
nm0000595,Victoria,Principal,1950,NULL
nm0000596,Jonathan,Pryce,1947,NULL
nm0000597,Bill,Pullman,1953,NULL
nm0000598,Dennis,Quaid,1954,NULL
nm0000599,Kathleen,Quinlan,1954,NULL
nm0000600,Sam,Raimi,1959,NULL
nm0000601,Harold,Ramis,1944,2014
